Range    : 0.200

Accuracy : 0.003

Control file  : gr32new

Spectrum file : 9md

Searching 1 1 0 near 2648.69151
4 3 1 2653.21289 99.1 2835.86138
5 3 3 2591.46792 86.6 2835.86041
6 3 3 2479.34528 88.8 2835.86039

5 1 5 2669.55151 16.5 2835.89568
6 1 5 2554.29861 96.1 2835.89317

5 1 5 2669.59342 38.6 2835.93759
5 3 3 2591.54451 99.7 2835.937
6 3 3 2479.41971 99.6 2835.93482

6 1 5 2554.26581 94.3 2835.86037
4 3 1 2653.21289 99.1 2835.86138
5 3 3 2591.46792 86.6 2835.86041
6 3 3 2479.34528 88.8 2835.86039

4 3 1 2653.07926 94.1 2835.72775
5 3 3 2591.33531 99.9 2835.7278

4 3 1 2653.21289 99.1 2835.86138
5 3 3 2591.46792 86.6 2835.86041
6 3 3 2479.34528 88.8 2835.86039

5 3 3 2591.46792 86.6 2835.86041
6 3 3 2479.34528 88.8 2835.86039

5 3 3 2591.54451 99.7 2835.937
6 3 3 2479.41971 99.6 2835.93482

Searching 5 2 4 near 2835.91924

4 2 3 2687.29859 98.7 2835.7169
4 4 1 2640.05511 97.8 2835.71653

4 2 3 2687.46479 88.7 2835.8831
5 2 3 2592.53895 49.2 2835.88239
6 2 5 2554.28087 84.3 2835.88315
4 4 1 2640.22084 98.8 2835.88226
6 4 3 2476.51692 69.8 2835.88317
5 0 5 2669.53982 54.6 2835.88327

4 2 3 2687.6335 75.4 2836.05181
5 0 5 2669.70633 99.7 2836.04978

5 2 3 2592.53895 49.2 2835.88239
6 2 5 2554.28087 84.3 2835.88315
4 4 1 2640.22084 98.8 2835.88226
6 4 3 2476.51692 69.8 2835.88317
5 0 5 2669.53982 54.6 2835.88327

5 2 3 2592.56508 89.4 2835.90852
4 4 1 2640.24744 96.2 2835.90886

5 2 3 2592.79508 65.4 2836.13851
4 4 1 2640.47853 99.1 2836.13995

6 2 5 2554.20664 93.1 2835.80891
5 4 1 2558.47421 99.4 2835.81178

6 2 5 2554.28087 84.3 2835.88315
4 4 1 2640.22084 98.8 2835.88226
6 4 3 2476.51692 69.8 2835.88317
5 0 5 2669.53982 54.6 2835.88327

6 2 5 2554.29861 96.1 2835.90088
5 4 1 2558.56468 100.0 2835.90226

6 2 5 2554.38563 97.7 2835.9879
6 4 3 2476.61945 100.1 2835.98569

6 2 5 2554.47438 100.1 2836.07665
4 4 1 2640.41497 100.0 2836.07639

6 2 5 2554.50545 100.1 2836.10773
4 4 1 2640.44361 94.2 2836.10503

4 4 1 2640.1561 94.5 2835.81752
6 4 3 2476.4525 100.1 2835.81875

4 4 1 2640.22084 98.8 2835.88226
6 4 3 2476.51692 69.8 2835.88317
5 0 5 2669.53982 54.6 2835.88327

6 4 3 2476.38969 99.9 2835.75593
5 0 5 2669.41207 94.9 2835.75552

6 4 3 2476.51692 69.8 2835.88317
5 0 5 2669.53982 54.6 2835.88327

Searching 6 1 5 near 2906.29414

5 1 4 2695.92302 99.8 2906.14029
6 3 4 2580.99372 100.1 2906.14013

5 1 4 2696.06395 97.3 2906.28123
7 3 4 2448.3997 86.6 2906.27938

5 1 4 2696.10829 91.8 2906.32556
6 1 6 2678.38115 45.1 2906.32621
7 1 6 2543.97452 85.7 2906.32609
5 3 2 2642.58693 98.4 2906.32588
6 3 4 2581.17923 61.1 2906.32563
7 3 4 2448.446 74.6 2906.32567

6 1 6 2678.23739 99.7 2906.18245
7 1 6 2543.8317 100.1 2906.18327
6 3 4 2581.03335 100.0 2906.17975

6 1 6 2678.29703 98.1 2906.24209
5 3 2 2642.50069 99.8 2906.23964

6 1 6 2678.38115 45.1 2906.32621
7 1 6 2543.97452 85.7 2906.32609
5 3 2 2642.58693 98.4 2906.32588
6 3 4 2581.17923 61.1 2906.32563
7 3 4 2448.446 74.6 2906.32567

6 1 6 2678.58941 99.3 2906.53446
7 3 4 2448.65312 100.1 2906.53279

7 1 6 2543.73754 100.1 2906.08911
6 3 4 2580.9424 99.9 2906.08881

7 1 6 2543.97452 85.7 2906.32609
5 3 2 2642.58693 98.4 2906.32588
6 3 4 2581.17923 61.1 2906.32563
7 3 4 2448.446 74.6 2906.32567

7 1 6 2544.17587 99.6 2906.52744
5 3 2 2642.78632 97.6 2906.52527
6 3 4 2581.37815 99.7 2906.52455

5 3 2 2642.36471 100.0 2906.10365
7 3 4 2448.22213 99.8 2906.1018

5 3 2 2642.58693 98.4 2906.32588
6 3 4 2581.17923 61.1 2906.32563
7 3 4 2448.446 74.6 2906.32567

5 3 2 2642.78632 97.6 2906.52527
6 3 4 2581.37815 99.7 2906.52455

6 3 4 2581.17923 61.1 2906.32563
7 3 4 2448.446 74.6 2906.32567

Searching 6 2 5 near 2906.30818

5 2 4 2695.95457 97.0 2906.21934
7 2 6 2543.86694 98.7 2906.21976

5 2 4 2696.06395 97.3 2906.32873
6 2 4 2581.41071 85.0 2906.32862
7 2 6 2543.97452 85.7 2906.32735
5 4 2 2635.22335 99.6 2906.32939
7 4 4 2447.66005 90.8 2906.32878
6 0 6 2678.38115 45.1 2906.32611

5 2 4 2696.16385 93.1 2906.42862
7 2 6 2544.07284 68.9 2906.42567

6 2 4 2581.41071 85.0 2906.32862
7 2 6 2543.97452 85.7 2906.32735
5 4 2 2635.22335 99.6 2906.32939
7 4 4 2447.66005 90.8 2906.32878
6 0 6 2678.38115 45.1 2906.32611

7 2 6 2543.76289 100.1 2906.11571
7 4 4 2447.44418 100.1 2906.11291

7 2 6 2543.8317 100.1 2906.18453
6 0 6 2678.23739 99.7 2906.18235

7 2 6 2543.97452 85.7 2906.32735
5 4 2 2635.22335 99.6 2906.32939
7 4 4 2447.66005 90.8 2906.32878
6 0 6 2678.38115 45.1 2906.32611

5 4 2 2635.13727 99.8 2906.2433
7 4 4 2447.57605 99.3 2906.24478
6 0 6 2678.29703 98.1 2906.24199

5 4 2 2635.22335 99.6 2906.32939
7 4 4 2447.66005 90.8 2906.32878

5 4 2 2635.30668 97.3 2906.41272
6 4 2 2530.98074 99.3 2906.41159

5 4 2 2635.40885 98.0 2906.51489
6 4 2 2531.08581 99.7 2906.51667

6 4 2 2530.85723 100.1 2906.28808
6 0 6 2678.3427 1.2 2906.28766

7 4 4 2447.57605 99.3 2906.24478
6 0 6 2678.29703 98.1 2906.24199

7 4 4 2447.66005 90.8 2906.32878
6 0 6 2678.38115 45.1 2906.32611

Searching 7 1 6 near 2986.07303

6 1 5 2704.22307 98.6 2985.81763
7 1 7 2686.84503 96.9 2985.81476

6 1 5 2704.36039 34.4 2985.95495
7 1 7 2686.98816 98.8 2985.95789
8 1 7 2533.45826 74.4 2985.95272
7 3 5 2570.43156 100.0 2985.95361
8 3 5 2418.2602 24.7 2985.95706

6 1 5 2704.6541 87.8 2986.24866
8 1 7 2533.75621 100.1 2986.25066

7 1 7 2686.98816 98.8 2985.95789
8 3 5 2418.2602 24.7 2985.95706

7 1 7 2687.10312 40.9 2986.07285
8 1 7 2533.57769 88.2 2986.07215
6 3 3 2629.55635 99.4 2986.07146
7 3 5 2570.55044 85.5 2986.07249
8 3 5 2418.37575 93.1 2986.0726

7 1 7 2687.29859 98.7 2986.26832
8 3 5 2418.57424 99.8 2986.27109

8 1 7 2533.36065 100.1 2985.8551
6 3 3 2629.34087 98.2 2985.85599

8 1 7 2533.45826 74.4 2985.95272
7 3 5 2570.43156 100.0 2985.95361

8 1 7 2533.57769 88.2 2986.07215
6 3 3 2629.55635 99.4 2986.07146
7 3 5 2570.55044 85.5 2986.07249
8 3 5 2418.37575 93.1 2986.0726

